id,typeId,name,floor,width,length,height,measure,area,volume,state,created,updated
690b2468288cf12e2c555a66,690b2160288cf12e2c4f27de,bk1m12,2,10,2,2,,20,40,occupied,2025-11-05 11:18:16,2026-01-19 08:35:35
690b2468288cf12e2c555b4f,690b2160288cf12e2c4f27de,bk1m13,2,1,1,1,,1,1,occupied,2025-11-05 11:18:16,2025-11-24 16:55:33
690b2469288cf12e2c555c38,690b2160288cf12e2c4f27de,bk1m14,2,1,1,1,,1,1,occupied,2025-11-05 11:18:17,2025-11-24 16:55:34
690b24693916b12eeda1477c,690b2160288cf12e2c4f27de,bk1m15,2,1,1,1,,1,1,occupied,2025-11-05 11:18:17,2025-12-09 10:29:10
690b246a288cf12e2c555dbd,690b2160288cf12e2c4f27de,bk1m17,2,1,1,1,,1,1,occupied,2025-11-05 11:18:18,2025-11-24 16:55:35
690b246a288cf12e2c555e0c,690b2160288cf12e2c4f27de,bk1m2,2,1,1,1,,1,1,occupied,2025-11-05 11:18:18,2025-11-24 16:55:36
690b246a288cf12e2c555ef5,690b2160288cf12e2c4f27de,bk1m20,2,1,1,1,,1,1,occupied,2025-11-05 11:18:18,2025-11-24 16:55:36
690b246a3916b12eeda14947,690b2160288cf12e2c4f27de,bk1m21,2,1,1,1,,1,1,occupied,2025-11-05 11:18:18,2025-11-24 16:55:37
690b246b288cf12e2c556030,690b2160288cf12e2c4f27de,bk1m23,2,1,1,1,,1,1,occupied,2025-11-05 11:18:19,2025-11-24 16:55:38
690b246b288cf12e2c556119,690b2160288cf12e2c4f27de,bk1m24,2,1,1,1,,1,1,occupied,2025-11-05 11:18:19,2025-11-24 16:55:39
690b246b3916b12eeda14fb4,690b2160288cf12e2c4f27de,bk1m25,2,1,1,1,,1,1,occupied,2025-11-05 11:18:19,2026-01-15 10:43:12
690b246b3916b12eeda15003,690b2160288cf12e2c4f27de,bk1m27,2,1,1,1,,1,1,available,2025-11-05 11:18:19,2026-01-22 10:28:17
690b246b3916b12eeda15052,690b2160288cf12e2c4f27de,bk1m3,2,1,1,1,,1,1,occupied,2025-11-05 11:18:19,2026-01-21 13:12:47
690b246c288cf12e2c5563e6,690b2160288cf12e2c4f27de,bk1m33,2,1,1,1,,1,1,occupied,2025-11-05 11:18:20,2025-11-24 16:55:42
690b246c3916b12eeda150f3,690b2160288cf12e2c4f27de,bk1m5,2,1,1,1,,1,1,occupied,2025-11-05 11:18:20,2026-01-15 10:43:25
690b246c3916b12eeda15142,690b2160288cf12e2c4f27de,bk1m7,2,1,1,1,,1,1,available,2025-11-05 11:18:20,2026-01-08 11:15:42
690b246c3916b12eeda151d9,690b2160288cf12e2c4f27de,bk2m1,2,1,1,1,,1,1,occupied,2025-11-05 11:18:20,2025-12-31 12:00:36
690b2472288cf12e2c557867,690b2160288cf12e2c4f27de,bk2m10,2,1,1,1,,1,1,occupied,2025-11-05 11:18:26,2025-11-24 16:55:45
690b24e0288cf12e2c56ee3a,690b2160288cf12e2c4f27de,bk2m12,2,1,1,1,,1,1,occupied,2025-11-05 11:20:16,2025-11-24 16:55:46
690b246d3916b12eeda15228,690b2160288cf12e2c4f27de,bk2m14,2,1,1,1,,1,1,occupied,2025-11-05 11:18:21,2025-11-24 16:55:47
690b246d288cf12e2c5566ad,690b2160288cf12e2c4f27de,bk2m17,2,1,1,1,,1,1,occupied,2025-11-05 11:18:21,2026-01-20 10:56:36
690b246d3916b12eeda153ab,690b2160288cf12e2c4f27de,bk2m2,2,1,1,1,,1,1,occupied,2025-11-05 11:18:21,2025-11-24 16:55:48
